Accident_ID,Location,Date,Severity,Weather,Vehicle_Type,Injuries,Fatalities,Cause,Road_Type,Vehicle_Speed,Alcohol_Involved,Road_Condition,Time
1118,Location_1118,2025-01-22,High,Clear,Truck,9,2,Weather conditions,City street,37,False,Icy,1970-01-01 00:00:00
1119,Location_1119,2025-01-23,High,Rain,Truck,4,0,Human error,Highway,62,False,Wet,1970-01-01 22:00:00
1120,Location_1120,2025-01-24,High,Snow,Motorcycle,4,1,Road conditions,City street,52,False,Icy,1970-01-01 10:00:00
1121,Location_1121,2025-01-25,Medium,Snow,Motorcycle,2,1,Road conditions,Rural road,72,False,Wet,1970-01-01 22:00:00
1122,Location_1122,2025-01-26,Medium,Clear,Car,2,1,Human error,Highway,75,True,Dry,1970-01-01 12:00:00
1123,Location_1123,2025-01-27,High,Rain,Truck,2,0,Human error,City street,38,True,Icy,1970-01-01 17:00:00
1124,Location_1124,2025-01-28,High,Rain,Motorcycle,5,0,Human error,Highway,88,True,Wet,1970-01-01 20:00:00
1125,Location_1125,2025-01-29,High,Clear,Car,3,2,Weather conditions,Highway,45,False,Wet,1970-01-01 19:00:00
1126,Location_1126,2025-01-30,Medium,Rain,Truck,2,1,Road conditions,Rural road,48,True,Dry,1970-01-01 09:00:00
1127,Location_1127,2025-01-31,High,Clear,Motorcycle,1,2,Road conditions,Rural road,43,False,Icy,1970-01-01 12:00:00
1128,Location_1128,2025-02-01,High,Rain,Motorcycle,2,0,Weather conditions,City street,25,False,Wet,1970-01-01 11:00:00
1129,Location_1129,2025-02-02,Low,Clear,Car,3,2,Human error,Rural road,73,False,Wet,1970-01-01 12:00:00
1130,Location_1130,2025-02-03,Low,Rain,Truck,5,0,Road conditions,Highway,58,True,Wet,1970-01-01 01:00:00
1131,Location_1131,2025-02-04,Medium,Clear,Truck,3,1,Weather conditions,Rural road,23,True,Icy,1970-01-01 02:00:00
1132,Location_1132,2025-02-05,High,Rain,Motorcycle,7,1,Human error,City street,77,False,Icy,1970-01-01 16:00:00
1133,Location_1133,2025-02-06,High,Snow,Truck,2,0,Road conditions,City street,67,True,Dry,1970-01-01 20:00:00
1134,Location_1134,2025-02-07,Low,Rain,Car,2,0,Human error,City street,79,False,Dry,1970-01-01 18:00:00
1135,Location_1135,2025-02-08,Medium,Clear,Motorcycle,2,0,Weather conditions,Rural road,45,True,Dry,1970-01-01 11:00:00
1136,Location_1136,2025-02-09,Low,Snow,Motorcycle,7,1,Road conditions,Rural road,98,True,Icy,1970-01-01 15:00:00
1137,Location_1137,2025-02-10,Low,Rain,Car,3,0,Human error,Rural road,96,True,Wet,1970-01-01 19:00:00
1138,Location_1138,2025-02-11,Low,Snow,Motorcycle,0,1,Human error,Rural road,59,False,Icy,1970-01-01 19:00:00
1139,Location_1139,2025-02-12,Low,Rain,Truck,1,2,Human error,Rural road,96,True,Icy,1970-01-01 21:00:00
1140,Location_1140,2025-02-13,High,Snow,Truck,9,1,Weather conditions,City street,75,True,Icy,1970-01-01 09:00:00
1141,Location_1141,2025-02-14,High,Clear,Motorcycle,1,2,Human error,City street,58,False,Dry,1970-01-01 22:00:00
1142,Location_1142,2025-02-15,Low,Rain,Car,2,1,Road conditions,Rural road,58,True,Wet,1970-01-01 22:00:00
1143,Location_1143,2025-02-16,Medium,Rain,Car,5,1,Road conditions,Highway,67,False,Icy,1970-01-01 14:00:00
1144,Location_1144,2025-02-17,Medium,Clear,Truck,7,0,Human error,City street,44,True,Dry,1970-01-01 07:00:00
1145,Location_1145,2025-02-18,Medium,Snow,Car,0,1,Weather conditions,Highway,53,False,Icy,1970-01-01 18:00:00
1146,Location_1146,2025-02-19,Medium,Clear,Motorcycle,8,0,Road conditions,Highway,40,False,Wet,1970-01-01 04:00:00
1147,Location_1147,2025-02-20,Low,Clear,Motorcycle,0,0,Road conditions,City street,44,True,Dry,1970-01-01 11:00:00
1148,Location_1148,2025-02-21,High,Snow,Truck,9,0,Road conditions,Highway,41,False,Icy,1970-01-01 09:00:00
1149,Location_1149,2025-02-22,Medium,Clear,Truck,1,1,Human error,Highway,42,False,Dry,1970-01-01 21:00:00
1150,Location_1150,2025-02-23,Low,Rain,Truck,2,0,Road conditions,City street,44,True,Wet,1970-01-01 13:00:00
1151,Location_1151,2025-02-24,Medium,Rain,Car,6,2,Human error,City street,97,True,Wet,1970-01-01 21:00:00
1152,Location_1152,2025-02-25,Medium,Rain,Motorcycle,8,2,Human error,Rural road,97,True,Dry,1970-01-01 11:00:00
1153,Location_1153,2025-02-26,Low,Clear,Motorcycle,2,1,Human error,City street,45,True,Icy,1970-01-01 23:00:00
1154,Location_1154,2025-02-27,High,Rain,Motorcycle,7,0,Human error,Highway,49,False,Wet,1970-01-01 12:00:00
1155,Location_1155,2025-02-28,High,Rain,Truck,8,2,Human error,City street,57,False,Wet,1970-01-01 20:00:00
1156,Location_1156,2025-03-01,Low,Rain,Motorcycle,9,1,Road conditions,Rural road,53,True,Icy,1970-01-01 20:00:00
1157,Location_1157,2025-03-02,High,Rain,Car,6,1,Human error,City street,96,True,Dry,1970-01-01 16:00:00
1158,Location_1158,2025-03-03,Low,Rain,Car,3,1,Human error,Highway,92,True,Dry,1970-01-01 00:00:00
1159,Location_1159,2025-03-04,Low,Rain,Motorcycle,3,1,Human error,City street,34,True,Icy,1970-01-01 21:00:00
1160,Location_1160,2025-03-05,Low,Clear,Truck,3,1,Human error,Highway,63,False,Wet,1970-01-01 09:00:00
1161,Location_1161,2025-03-06,High,Rain,Motorcycle,5,0,Human error,City street,29,False,Wet,1970-01-01 04:00:00
1162,Location_1162,2025-03-07,Low,Rain,Car,3,0,Human error,Rural road,56,False,Icy,1970-01-01 10:00:00
1163,Location_1163,2025-03-08,Medium,Snow,Car,4,0,Road conditions,Rural road,26,False,Icy,1970-01-01 09:00:00
1164,Location_1164,2025-03-09,High,Clear,Car,8,0,Human error,City street,51,False,Dry,1970-01-01 05:00:00
1165,Location_1165,2025-03-10,High,Clear,Motorcycle,6,1,Human error,Highway,30,True,Dry,1970-01-01 14:00:00
1166,Location_1166,2025-03-11,High,Clear,Car,7,1,Road conditions,Rural road,67,True,Icy,1970-01-01 08:00:00
1167,Location_1167,2025-03-12,High,Clear,Truck,4,2,Road conditions,Highway,87,False,Wet,1970-01-01 07:00:00
1168,Location_1168,2025-03-13,Medium,Rain,Motorcycle,4,2,Weather conditions,City street,67,False,Dry,1970-01-01 22:00:00
1169,Location_1169,2025-03-14,High,Rain,Motorcycle,6,0,Road conditions,Rural road,64,True,Icy,1970-01-01 22:00:00
1170,Location_1170,2025-03-15,High,Snow,Car,7,1,Road conditions,Rural road,52,False,Wet,1970-01-01 05:00:00
1171,Location_1171,2025-03-16,Low,Snow,Car,8,2,Human error,Highway,23,False,Dry,1970-01-01 05:00:00
1172,Location_1172,2025-03-17,High,Clear,Truck,1,2,Weather conditions,Rural road,66,False,Icy,1970-01-01 16:00:00
1173,Location_1173,2025-03-18,Medium,Snow,Motorcycle,2,2,Human error,Highway,72,False,Icy,1970-01-01 11:00:00
1174,Location_1174,2025-03-19,Medium,Snow,Car,1,2,Weather conditions,Highway,50,True,Wet,1970-01-01 06:00:00
1175,Location_1175,2025-03-20,Medium,Clear,Truck,9,0,Human error,City street,50,False,Wet,1970-01-01 04:00:00
1176,Location_1176,2025-03-21,Medium,Clear,Car,6,1,Road conditions,Highway,46,False,Icy,1970-01-01 15:00:00
1177,Location_1177,2025-03-22,High,Snow,Motorcycle,1,0,Road conditions,Rural road,67,False,Wet,1970-01-01 22:00:00
1178,Location_1178,2025-03-23,High,Rain,Car,1,2,Weather conditions,Highway,55,False,Icy,1970-01-01 05:00:00
1179,Location_1179,2025-03-24,Medium,Snow,Motorcycle,1,2,Human error,Rural road,68,False,Wet,1970-01-01 07:00:00
1180,Location_1180,2025-03-25,Medium,Snow,Car,3,1,Human error,Highway,50,True,Wet,1970-01-01 02:00:00
1181,Location_1181,2025-03-26,High,Rain,Motorcycle,0,1,Road conditions,City street,63,True,Dry,1970-01-01 07:00:00
1182,Location_1182,2025-03-27,Medium,Rain,Truck,1,0,Road conditions,City street,78,True,Dry,1970-01-01 06:00:00
1183,Location_1183,2025-03-28,Low,Clear,Motorcycle,2,1,Weather conditions,Highway,42,False,Wet,1970-01-01 16:00:00
1184,Location_1184,2025-03-29,Medium,Clear,Truck,6,0,Road conditions,Highway,87,False,Icy,1970-01-01 18:00:00
1185,Location_1185,2025-03-30,Medium,Snow,Motorcycle,9,0,Weather conditions,Highway,61,True,Wet,1970-01-01 19:00:00
1186,Location_1186,2025-03-31,Low,Rain,Truck,0,2,Weather conditions,City street,61,True,Dry,1970-01-01 13:00:00
1187,Location_1187,2025-04-01,Low,Clear,Car,5,0,Weather conditions,Highway,32,False,Icy,1970-01-01 05:00:00
1188,Location_1188,2025-04-02,High,Snow,Motorcycle,2,2,Weather conditions,Highway,20,False,Wet,1970-01-01 06:00:00
1189,Location_1189,2025-04-03,High,Rain,Car,2,0,Road conditions,Rural road,95,True,Wet,1970-01-01 04:00:00
1190,Location_1190,2025-04-04,Low,Snow,Truck,3,0,Weather conditions,City street,72,False,Wet,1970-01-01 18:00:00
1191,Location_1191,2025-04-05,Low,Clear,Motorcycle,3,1,Road conditions,City street,59,False,Wet,1970-01-01 20:00:00
1192,Location_1192,2025-04-06,High,Clear,Motorcycle,6,1,Weather conditions,Highway,65,True,Dry,1970-01-01 06:00:00
1193,Location_1193,2025-04-07,Medium,Rain,Car,2,2,Road conditions,Highway,41,False,Dry,1970-01-01 08:00:00
1194,Location_1194,2025-04-08,Low,Snow,Motorcycle,7,1,Weather conditions,Rural road,71,False,Dry,1970-01-01 11:00:00
1195,Location_1195,2025-04-09,High,Rain,Motorcycle,7,0,Road conditions,Highway,47,False,Dry,1970-01-01 14:00:00
1196,Location_1196,2025-04-10,Medium,Clear,Car,6,2,Human error,City street,72,True,Icy,1970-01-01 14:00:00
1197,Location_1197,2025-04-11,Low,Clear,Motorcycle,1,2,Weather conditions,Rural road,82,False,Icy,1970-01-01 23:00:00
1198,Location_1198,2025-04-12,Medium,Snow,Car,4,2,Weather conditions,City street,36,False,Icy,1970-01-01 20:00:00
1199,Location_1199,2025-04-13,High,Snow,Car,5,0,Human error,Highway,83,True,Wet,1970-01-01 15:00:00
1200,Location_1200,2025-04-14,Low,Snow,Car,9,1,Human error,Rural road,25,False,Icy,1970-01-01 22:00:00
1201,Location_1201,2025-04-15,Medium,Rain,Car,3,2,Weather conditions,City street,33,False,Dry,1970-01-01 19:00:00
1202,Location_1202,2025-04-16,Low,Snow,Car,9,0,Road conditions,City street,36,False,Dry,1970-01-01 14:00:00
1203,Location_1203,2025-04-17,Medium,Snow,Truck,4,1,Weather conditions,City street,57,True,Wet,1970-01-01 04:00:00
1204,Location_1204,2025-04-18,High,Clear,Truck,8,1,Road conditions,Highway,88,True,Icy,1970-01-01 11:00:00
1205,Location_1205,2025-04-19,High,Clear,Car,6,2,Human error,Highway,32,False,Wet,1970-01-01 03:00:00
1206,Location_1206,2025-04-20,Low,Snow,Truck,1,0,Road conditions,Highway,72,True,Wet,1970-01-01 02:00:00
1207,Location_1207,2025-04-21,Medium,Snow,Truck,0,1,Weather conditions,Highway,28,True,Icy,1970-01-01 00:00:00
1208,Location_1208,2025-04-22,Low,Clear,Motorcycle,1,0,Human error,City street,63,True,Wet,1970-01-01 12:00:00
1209,Location_1209,2025-04-23,Low,Snow,Car,2,1,Human error,Rural road,45,True,Icy,1970-01-01 04:00:00
1210,Location_1210,2025-04-24,Medium,Rain,Truck,1,2,Weather conditions,Highway,96,True,Icy,1970-01-01 11:00:00
1211,Location_1211,2025-04-25,Medium,Rain,Motorcycle,2,2,Weather conditions,Rural road,38,True,Wet,1970-01-01 01:00:00
1212,Location_1212,2025-04-26,Medium,Rain,Motorcycle,9,1,Human error,City street,67,True,Dry,1970-01-01 05:00:00
1213,Location_1213,2025-04-27,High,Snow,Car,8,0,Road conditions,Highway,99,True,Icy,1970-01-01 04:00:00
1214,Location_1214,2025-04-28,Low,Clear,Car,3,1,Road conditions,City street,49,True,Dry,1970-01-01 17:00:00
1215,Location_1215,2025-04-29,Low,Snow,Motorcycle,8,0,Road conditions,Highway,51,False,Dry,1970-01-01 23:00:00
1216,Location_1216,2025-04-30,High,Snow,Car,2,1,Weather conditions,Highway,97,True,Icy,1970-01-01 04:00:00
1217,Location_1217,2025-05-01,Medium,Clear,Car,0,2,Human error,Rural road,98,True,Dry,1970-01-01 17:00:00
1218,Location_1218,2025-05-02,High,Clear,Motorcycle,4,0,Road conditions,City street,95,False,Wet,1970-01-01 15:00:00
1219,Location_1219,2025-05-03,High,Clear,Motorcycle,9,2,Human error,City street,94,False,Wet,1970-01-01 16:00:00
1220,Location_1220,2025-05-04,High,Rain,Car,9,0,Road conditions,City street,88,False,Dry,1970-01-01 01:00:00
1221,Location_1221,2025-05-05,Low,Snow,Truck,1,1,Human error,Rural road,30,False,Wet,1970-01-01 16:00:00
1222,Location_1222,2025-05-06,High,Clear,Car,3,2,Weather conditions,Rural road,45,True,Icy,1970-01-01 09:00:00
1223,Location_1223,2025-05-07,Low,Snow,Truck,1,2,Weather conditions,City street,45,True,Icy,1970-01-01 02:00:00
1224,Location_1224,2025-05-08,Low,Rain,Motorcycle,1,0,Weather conditions,City street,36,True,Dry,1970-01-01 13:00:00
1225,Location_1225,2025-05-09,Low,Rain,Truck,2,0,Road conditions,Highway,63,False,Wet,1970-01-01 18:00:00
1226,Location_1226,2025-05-10,Medium,Clear,Motorcycle,4,0,Weather conditions,Highway,42,True,Dry,1970-01-01 11:00:00
1227,Location_1227,2025-05-11,Low,Clear,Car,3,2,Weather conditions,Rural road,44,True,Wet,1970-01-01 00:00:00
1228,Location_1228,2025-05-12,Low,Snow,Car,1,1,Weather conditions,Highway,56,False,Icy,1970-01-01 06:00:00
1229,Location_1229,2025-05-13,Medium,Clear,Motorcycle,9,0,Human error,City street,95,False,Wet,1970-01-01 06:00:00
1230,Location_1230,2025-05-14,Low,Snow,Motorcycle,1,1,Human error,City street,84,False,Wet,1970-01-01 12:00:00
1231,Location_1231,2025-05-15,High,Clear,Motorcycle,5,0,Human error,Highway,21,False,Dry,1970-01-01 08:00:00
1232,Location_1232,2025-05-16,High,Snow,Car,6,1,Human error,Highway,93,False,Icy,1970-01-01 04:00:00
1233,Location_1233,2025-05-17,Low,Snow,Car,9,0,Human error,Rural road,51,True,Wet,1970-01-01 03:00:00
1234,Location_1234,2025-05-18,Medium,Snow,Truck,5,1,Human error,Highway,93,False,Icy,1970-01-01 04:00:00
1235,Location_1235,2025-05-19,High,Snow,Motorcycle,6,2,Human error,Rural road,74,False,Wet,1970-01-01 23:00:00
1236,Location_1236,2025-05-20,Medium,Rain,Truck,0,0,Weather conditions,Highway,69,True,Icy,1970-01-01 23:00:00
1237,Location_1237,2025-05-21,Medium,Snow,Car,5,0,Weather conditions,Highway,84,True,Wet,1970-01-01 19:00:00
1238,Location_1238,2025-05-22,High,Clear,Truck,2,2,Road conditions,Highway,51,True,Icy,1970-01-01 11:00:00
1239,Location_1239,2025-05-23,Medium,Rain,Truck,0,0,Weather conditions,Highway,56,False,Wet,1970-01-01 07:00:00
1240,Location_1240,2025-05-24,High,Rain,Car,7,0,Human error,City street,95,False,Icy,1970-01-01 12:00:00
1241,Location_1241,2025-05-25,Medium,Snow,Car,3,2,Human error,City street,32,True,Wet,1970-01-01 03:00:00
1242,Location_1242,2025-05-26,High,Rain,Motorcycle,9,2,Road conditions,City street,73,True,Wet,1970-01-01 19:00:00
1243,Location_1243,2025-05-27,Low,Snow,Truck,7,1,Weather conditions,Highway,22,False,Icy,1970-01-01 10:00:00
1244,Location_1244,2025-05-28,High,Clear,Car,9,2,Weather conditions,Rural road,61,True,Dry,1970-01-01 14:00:00
1245,Location_1245,2025-05-29,High,Snow,Car,3,2,Road conditions,Highway,97,True,Wet,1970-01-01 23:00:00
1246,Location_1246,2025-05-30,High,Rain,Truck,3,0,Human error,City street,59,True,Wet,1970-01-01 13:00:00
1247,Location_1247,2025-05-31,High,Clear,Car,9,2,Human error,Rural road,93,True,Dry,1970-01-01 17:00:00
1248,Location_1248,2025-06-01,Medium,Snow,Motorcycle,3,0,Human error,Rural road,85,False,Wet,1970-01-01 19:00:00
1249,Location_1249,2025-06-02,Low,Clear,Motorcycle,5,2,Human error,City street,79,False,Icy,1970-01-01 00:00:00
1250,Location_1250,2025-06-03,High,Clear,Truck,8,2,Road conditions,Highway,30,False,Dry,1970-01-01 00:00:00
1251,Location_1251,2025-06-04,Medium,Rain,Motorcycle,4,1,Weather conditions,Rural road,20,True,Wet,1970-01-01 10:00:00
1252,Location_1252,2025-06-05,Low,Clear,Car,9,2,Human error,Rural road,45,False,Icy,1970-01-01 23:00:00
1253,Location_1253,2025-06-06,Low,Rain,Car,7,2,Weather conditions,City street,61,False,Icy,1970-01-01 19:00:00
1254,Location_1254,2025-06-07,Low,Clear,Car,7,0,Weather conditions,Rural road,81,True,Dry,1970-01-01 05:00:00
1255,Location_1255,2025-06-08,Low,Snow,Car,3,0,Human error,Rural road,80,True,Dry,1970-01-01 04:00:00
1256,Location_1256,2025-06-09,High,Clear,Truck,9,1,Human error,Rural road,96,False,Dry,1970-01-01 12:00:00
1257,Location_1257,2025-06-10,High,Snow,Motorcycle,8,2,Human error,Highway,81,True,Icy,1970-01-01 09:00:00
1258,Location_1258,2025-06-11,Medium,Snow,Motorcycle,8,0,Weather conditions,Highway,93,True,Wet,1970-01-01 05:00:00
1259,Location_1259,2025-06-12,Medium,Clear,Car,4,2,Road conditions,City street,31,False,Icy,1970-01-01 03:00:00
1260,Location_1260,2025-06-13,Medium,Snow,Truck,5,1,Human error,Highway,46,False,Icy,1970-01-01 03:00:00
1261,Location_1261,2025-06-14,Low,Clear,Car,4,0,Weather conditions,Rural road,86,False,Dry,1970-01-01 06:00:00
1262,Location_1262,2025-06-15,Low,Clear,Car,2,0,Weather conditions,Highway,47,True,Wet,1970-01-01 15:00:00
1263,Location_1263,2025-06-16,High,Snow,Truck,7,1,Human error,Rural road,85,True,Icy,1970-01-01 00:00:00
1264,Location_1264,2025-06-17,Low,Snow,Truck,8,2,Road conditions,Rural road,47,True,Dry,1970-01-01 08:00:00
1265,Location_1265,2025-06-18,Low,Rain,Car,3,0,Human error,Highway,40,True,Dry,1970-01-01 18:00:00
1266,Location_1266,2025-06-19,Low,Snow,Motorcycle,8,0,Human error,Highway,26,True,Wet,1970-01-01 19:00:00
1267,Location_1267,2025-06-20,Medium,Rain,Car,8,1,Road conditions,Highway,33,True,Wet,1970-01-01 14:00:00
1268,Location_1268,2025-06-21,Medium,Snow,Motorcycle,6,1,Human error,Highway,58,False,Dry,1970-01-01 08:00:00
1269,Location_1269,2025-06-22,High,Clear,Motorcycle,7,1,Human error,City street,92,False,Wet,1970-01-01 20:00:00
1270,Location_1270,2025-06-23,Low,Snow,Truck,2,2,Road conditions,Highway,81,True,Wet,1970-01-01 19:00:00
1271,Location_1271,2025-06-24,Low,Clear,Truck,4,2,Weather conditions,City street,31,False,Icy,1970-01-01 21:00:00
1272,Location_1272,2025-06-25,High,Clear,Car,2,2,Weather conditions,Rural road,57,False,Wet,1970-01-01 00:00:00
1273,Location_1273,2025-06-26,Low,Clear,Motorcycle,6,1,Weather conditions,City street,77,False,Dry,1970-01-01 00:00:00
1274,Location_1274,2025-06-27,Low,Rain,Motorcycle,5,0,Weather conditions,Rural road,75,True,Wet,1970-01-01 15:00:00
1275,Location_1275,2025-06-28,Medium,Snow,Car,2,2,Weather conditions,City street,58,False,Icy,1970-01-01 04:00:00
1276,Location_1276,2025-06-29,High,Clear,Car,8,1,Human error,City street,23,False,Wet,1970-01-01 20:00:00
1277,Location_1277,2025-06-30,High,Clear,Car,0,2,Road conditions,Rural road,67,True,Icy,1970-01-01 08:00:00
1278,Location_1278,2025-07-01,High,Rain,Truck,9,0,Weather conditions,City street,26,True,Wet,1970-01-01 00:00:00
1279,Location_1279,2025-07-02,High,Snow,Car,2,0,Road conditions,Rural road,79,True,Wet,1970-01-01 18:00:00
1280,Location_1280,2025-07-03,Medium,Snow,Car,9,1,Weather conditions,Highway,59,False,Dry,1970-01-01 15:00:00
1281,Location_1281,2025-07-04,Medium,Rain,Motorcycle,6,0,Human error,Rural road,27,False,Dry,1970-01-01 02:00:00
1282,Location_1282,2025-07-05,Low,Rain,Car,2,1,Weather conditions,City street,77,False,Wet,1970-01-01 03:00:00
1283,Location_1283,2025-07-06,Low,Snow,Motorcycle,2,1,Weather conditions,Highway,76,True,Wet,1970-01-01 11:00:00
1284,Location_1284,2025-07-07,Low,Rain,Motorcycle,1,1,Road conditions,City street,54,True,Icy,1970-01-01 06:00:00
1285,Location_1285,2025-07-08,Low,Snow,Truck,8,1,Road conditions,Highway,92,True,Icy,1970-01-01 14:00:00
1286,Location_1286,2025-07-09,Medium,Snow,Car,3,0,Human error,Rural road,32,False,Dry,1970-01-01 22:00:00
1287,Location_1287,2025-07-10,High,Clear,Car,9,0,Road conditions,Highway,58,False,Wet,1970-01-01 14:00:00
1288,Location_1288,2025-07-11,Medium,Clear,Motorcycle,5,0,Road conditions,Highway,40,False,Wet,1970-01-01 04:00:00
1289,Location_1289,2025-07-12,Low,Snow,Truck,1,0,Road conditions,Highway,66,True,Icy,1970-01-01 22:00:00
1290,Location_1290,2025-07-13,Medium,Snow,Truck,8,1,Human error,City street,21,True,Wet,1970-01-01 01:00:00
1291,Location_1291,2025-07-14,High,Snow,Car,6,1,Human error,Highway,63,False,Wet,1970-01-01 11:00:00
1292,Location_1292,2025-07-15,High,Snow,Motorcycle,9,0,Human error,Rural road,49,False,Wet,1970-01-01 18:00:00
1293,Location_1293,2025-07-16,Medium,Snow,Car,4,2,Road conditions,Rural road,74,False,Icy,1970-01-01 22:00:00
1294,Location_1294,2025-07-17,Medium,Snow,Car,6,2,Road conditions,Rural road,59,True,Icy,1970-01-01 04:00:00
1295,Location_1295,2025-07-18,Medium,Rain,Car,3,2,Human error,Highway,96,False,Icy,1970-01-01 22:00:00
1296,Location_1296,2025-07-19,Low,Snow,Car,9,0,Road conditions,Rural road,43,True,Wet,1970-01-01 02:00:00
1297,Location_1297,2025-07-20,Medium,Rain,Motorcycle,6,1,Road conditions,City street,61,False,Icy,1970-01-01 23:00:00
1298,Location_1298,2025-07-21,Medium,Rain,Truck,1,1,Weather conditions,Rural road,47,False,Dry,1970-01-01 05:00:00
1299,Location_1299,2025-07-22,Medium,Snow,Car,6,2,Human error,Highway,70,False,Dry,1970-01-01 12:00:00
1300,Location_1300,2025-07-23,High,Snow,Car,3,2,Human error,Rural road,41,False,Icy,1970-01-01 19:00:00
1301,Location_1301,2025-07-24,High,Rain,Car,3,1,Road conditions,Highway,97,False,Icy,1970-01-01 14:00:00
1302,Location_1302,2025-07-25,Low,Rain,Car,0,2,Road conditions,Highway,93,False,Wet,1970-01-01 03:00:00
1303,Location_1303,2025-07-26,Low,Snow,Truck,2,2,Weather conditions,Rural road,93,False,Icy,1970-01-01 19:00:00
1304,Location_1304,2025-07-27,High,Snow,Truck,4,1,Human error,City street,27,False,Icy,1970-01-01 06:00:00
1305,Location_1305,2025-07-28,High,Rain,Truck,4,2,Human error,City street,33,False,Dry,1970-01-01 21:00:00
1306,Location_1306,2025-07-29,High,Rain,Truck,1,2,Road conditions,Rural road,64,False,Dry,1970-01-01 17:00:00
1307,Location_1307,2025-07-30,Medium,Rain,Car,3,0,Human error,Highway,57,True,Dry,1970-01-01 20:00:00
1308,Location_1308,2025-07-31,Medium,Clear,Motorcycle,0,2,Road conditions,Rural road,51,True,Dry,1970-01-01 20:00:00
1309,Location_1309,2025-08-01,High,Rain,Truck,8,0,Weather conditions,Highway,81,False,Icy,1970-01-01 21:00:00
1310,Location_1310,2025-08-02,Medium,Clear,Truck,0,1,Road conditions,Highway,86,False,Dry,1970-01-01 06:00:00
1311,Location_1311,2025-08-03,Medium,Snow,Car,5,0,Weather conditions,Highway,80,True,Wet,1970-01-01 11:00:00
1312,Location_1312,2025-08-04,Low,Snow,Car,6,1,Road conditions,City street,32,True,Wet,1970-01-01 10:00:00
1313,Location_1313,2025-08-05,High,Rain,Car,2,0,Weather conditions,City street,99,True,Icy,1970-01-01 23:00:00
1314,Location_1314,2025-08-06,High,Snow,Car,0,0,Weather conditions,Rural road,66,False,Wet,1970-01-01 11:00:00
1315,Location_1315,2025-08-07,Medium,Snow,Motorcycle,6,0,Human error,City street,73,False,Dry,1970-01-01 14:00:00
1316,Location_1316,2025-08-08,High,Snow,Motorcycle,2,2,Road conditions,Highway,90,False,Dry,1970-01-01 07:00:00
1317,Location_1317,2025-08-09,Low,Snow,Truck,9,2,Human error,Highway,71,False,Wet,1970-01-01 10:00:00
1318,Location_1318,2025-08-10,Low,Clear,Motorcycle,5,2,Human error,Rural road,91,True,Icy,1970-01-01 20:00:00
1319,Location_1319,2025-08-11,Low,Clear,Truck,5,2,Road conditions,Highway,44,True,Dry,1970-01-01 17:00:00
1320,Location_1320,2025-08-12,High,Rain,Truck,3,2,Human error,Rural road,42,True,Dry,1970-01-01 09:00:00
1321,Location_1321,2025-08-13,High,Rain,Motorcycle,5,0,Human error,Rural road,93,True,Wet,1970-01-01 07:00:00
1322,Location_1322,2025-08-14,High,Rain,Truck,9,2,Human error,Highway,49,False,Icy,1970-01-01 05:00:00
1323,Location_1323,2025-08-15,High,Snow,Car,3,1,Road conditions,City street,30,True,Icy,1970-01-01 02:00:00
1324,Location_1324,2025-08-16,High,Snow,Truck,7,0,Human error,Highway,54,True,Wet,1970-01-01 19:00:00
1325,Location_1325,2025-08-17,Low,Clear,Car,8,0,Human error,Highway,46,False,Dry,1970-01-01 11:00:00
1326,Location_1326,2025-08-18,Medium,Clear,Motorcycle,1,1,Human error,Rural road,86,False,Wet,1970-01-01 16:00:00
1327,Location_1327,2025-08-19,Low,Rain,Motorcycle,6,2,Road conditions,City street,66,False,Wet,1970-01-01 02:00:00
1328,Location_1328,2025-08-20,High,Clear,Truck,8,1,Weather conditions,Rural road,69,True,Wet,1970-01-01 19:00:00
1329,Location_1329,2025-08-21,Low,Clear,Car,8,0,Weather conditions,Highway,27,True,Dry,1970-01-01 17:00:00
1330,Location_1330,2025-08-22,High,Clear,Truck,4,0,Weather conditions,Rural road,74,False,Dry,1970-01-01 11:00:00
1331,Location_1331,2025-08-23,High,Clear,Motorcycle,0,0,Weather conditions,Rural road,96,False,Wet,1970-01-01 21:00:00
1332,Location_1332,2025-08-24,Low,Clear,Truck,5,1,Human error,Highway,61,False,Icy,1970-01-01 23:00:00
1333,Location_1333,2025-08-25,High,Rain,Truck,7,2,Road conditions,Rural road,86,False,Wet,1970-01-01 15:00:00
1334,Location_1334,2025-08-26,Medium,Rain,Car,0,0,Human error,Highway,39,True,Dry,1970-01-01 21:00:00
1335,Location_1335,2025-08-27,High,Clear,Motorcycle,1,2,Road conditions,Rural road,64,False,Icy,1970-01-01 09:00:00
1336,Location_1336,2025-08-28,Medium,Rain,Truck,0,0,Human error,City street,54,True,Icy,1970-01-01 18:00:00
1337,Location_1337,2025-08-29,Medium,Snow,Car,4,2,Weather conditions,Highway,96,False,Dry,1970-01-01 08:00:00
1338,Location_1338,2025-08-30,High,Clear,Truck,1,1,Weather conditions,City street,39,False,Dry,1970-01-01 13:00:00
1339,Location_1339,2025-08-31,Low,Snow,Car,9,0,Road conditions,Rural road,43,True,Wet,1970-01-01 19:00:00
1340,Location_1340,2025-09-01,Medium,Rain,Car,9,0,Human error,City street,76,False,Dry,1970-01-01 13:00:00
1341,Location_1341,2025-09-02,Low,Rain,Truck,3,0,Weather conditions,City street,74,False,Icy,1970-01-01 21:00:00
